"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15178","should allow navigation between steps","chromium","Sat May 03 19:16:17 BRT 2025","broken","Sat May 03 19:16:32 BRT 2025","Journey System","journeys.spec.ts","",""
"","15116","should complete full investor onboarding journey","chromium","Sat May 03 19:16:34 BRT 2025","broken","Sat May 03 19:16:49 BRT 2025","Onboarding Flow","onboarding.spec.ts","",""
"","8591","should navigate through onboarding dialog","chromium","Sat May 03 19:16:17 BRT 2025","failed","Sat May 03 19:16:25 BRT 2025","Journey System","journeys.spec.ts","",""
"","30141","should handle subscription expiration","chromium","Sat May 03 02:48:38 BRT 2025","broken","Sat May 03 02:49:08 BRT 2025","Journey System","journeys.spec.ts","",""
"","15116","should block access to final step without NFT purchase","chromium","Sat May 03 19:16:27 BRT 2025","broken","Sat May 03 19:16:42 BRT 2025","Journey System","journeys.spec.ts","",""
"","15100","should persist onboarding progress","chromium","Sat May 03 19:16:39 BRT 2025","broken","Sat May 03 19:16:54 BRT 2025","Onboarding Flow","onboarding.spec.ts","",""
"","15094","should handle insufficient funds for contribution","chromium","Sat May 03 19:16:39 BRT 2025","broken","Sat May 03 19:16:54 BRT 2025","Onboarding Flow","onboarding.spec.ts","",""
"","15113","should handle wallet disconnection","chromium","Sat May 03 19:16:46 BRT 2025","broken","Sat May 03 19:17:02 BRT 2025","Wallet Connection","wallet.test.ts","",""
"","15172","should complete onboarding journey as investor","chromium","Sat May 03 19:16:17 BRT 2025","broken","Sat May 03 19:16:32 BRT 2025","Journey System","journeys.spec.ts","",""
"","15115","should allow switching between different user types","chromium","Sat May 03 19:16:43 BRT 2025","broken","Sat May 03 19:16:58 BRT 2025","Onboarding Flow","onboarding.spec.ts","",""
"","23645","should navigate through investor journey","chromium","Sat May 03 02:02:27 BRT 2025","failed","Sat May 03 02:02:50 BRT 2025","Journey System","journeys.spec.ts","",""
"","7918","should show how it works section","chromium","Sat May 03 19:16:17 BRT 2025","failed","Sat May 03 19:16:25 BRT 2025","Journey System","journeys.spec.ts","",""
"","5923","should show progress indicators","chromium","Sat May 03 19:16:17 BRT 2025","failed","Sat May 03 19:16:22 BRT 2025","Journey System","journeys.spec.ts","",""
"","15208","should support different user types","chromium","Sat May 03 19:16:30 BRT 2025","broken","Sat May 03 19:16:45 BRT 2025","Journey System","journeys.spec.ts","",""
"","15119","should handle wallet connection during onboarding","chromium","Sat May 03 19:16:35 BRT 2025","broken","Sat May 03 19:16:50 BRT 2025","Onboarding Flow","onboarding.spec.ts","",""
"","15118","should connect to wallet","chromium","Sat May 03 19:16:44 BRT 2025","broken","Sat May 03 19:16:59 BRT 2025","Wallet Connection","wallet.test.ts","",""
"","15254","should show all user types in popover","chromium","Sat May 03 19:16:16 BRT 2025","broken","Sat May 03 19:16:32 BRT 2025","Journey System","journeys.spec.ts","",""
"","9182","should show FAQ section","chromium","Sat May 03 19:16:17 BRT 2025","failed","Sat May 03 19:16:26 BRT 2025","Journey System","journeys.spec.ts","",""
"","15324","should show correct progress percentage","chromium","Sat May 03 19:16:30 BRT 2025","broken","Sat May 03 19:16:45 BRT 2025","Journey System","journeys.spec.ts","",""
"","7497","should show all journey options","chromium","Sat May 03 19:16:17 BRT 2025","failed","Sat May 03 19:16:24 BRT 2025","Journey System","journeys.spec.ts","",""
