"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","should complete full investor onboarding journey","default","Sun May 04 12:36:50 UTC 2025","failed","Sun May 04 12:36:50 UTC 2025","Onboarding Flow","e2e/onboarding.spec.ts","",""
"","14","should handle investment creation flow","default","Sun May 04 12:36:57 UTC 2025","failed","Sun May 04 12:36:57 UTC 2025","Regression Tests","regression.spec.ts","",""
"","7","should check API endpoints","default","Sun May 04 12:36:59 UTC 2025","failed","Sun May 04 12:36:59 UTC 2025","Smoke Tests","smoke.spec.ts","",""
"","11","should handle wallet connection during onboarding","default","Sun May 04 12:36:50 UTC 2025","failed","Sun May 04 12:36:50 UTC 2025","Onboarding Flow","e2e/onboarding.spec.ts","",""
"","14","should allow user authentication","default","Sun May 04 12:36:43 UTC 2025","failed","Sun May 04 12:36:43 UTC 2025","Critical Path Tests","critical.spec.ts","",""
"","13","basic test","default","Sun May 04 12:36:57 UTC 2025","failed","Sun May 04 12:36:57 UTC 2025","","example.spec.ts","",""
"","9","should load all main pages","default","Sun May 04 12:36:59 UTC 2025","failed","Sun May 04 12:36:59 UTC 2025","Smoke Tests","smoke.spec.ts","",""
"","11","should load the main page","default","Sun May 04 12:36:43 UTC 2025","failed","Sun May 04 12:36:43 UTC 2025","Critical Path Tests","critical.spec.ts","",""
"","14","should handle insufficient funds for contribution","default","Sun May 04 12:36:50 UTC 2025","failed","Sun May 04 12:36:50 UTC 2025","Onboarding Flow","e2e/onboarding.spec.ts","",""
"","11","should show back navigation","default","Sun May 04 12:36:50 UTC 2025","failed","Sun May 04 12:36:50 UTC 2025","Journey System","e2e/journeys.spec.ts","",""
"","10","should allow navigation between tabs","default","Sun May 04 12:36:46 UTC 2025","failed","Sun May 04 12:36:46 UTC 2025","Journey System","e2e/journeys.spec.ts","",""
"","10","basic test","default","Sun May 04 12:36:43 UTC 2025","failed","Sun May 04 12:36:43 UTC 2025","","e2e/example.spec.ts","",""
"","19","should handle wallet disconnection","default","Sun May 04 12:36:53 UTC 2025","failed","Sun May 04 12:36:53 UTC 2025","Wallet Connection","e2e/wallet.spec.ts","",""
"","14","should display investment details correctly","default","Sun May 04 12:36:57 UTC 2025","failed","Sun May 04 12:36:57 UTC 2025","Regression Tests","regression.spec.ts","",""
"","14","should connect to wallet","default","Sun May 04 12:36:53 UTC 2025","failed","Sun May 04 12:36:53 UTC 2025","Wallet Connection","e2e/wallet.spec.ts","",""
"","11","should display main navigation","default","Sun May 04 12:36:43 UTC 2025","failed","Sun May 04 12:36:43 UTC 2025","Critical Path Tests","critical.spec.ts","",""
"","9","should show journey resources","default","Sun May 04 12:36:46 UTC 2025","failed","Sun May 04 12:36:46 UTC 2025","Journey System","e2e/journeys.spec.ts","",""
"","10","should handle voting on proposals","default","Sun May 04 12:36:57 UTC 2025","failed","Sun May 04 12:36:57 UTC 2025","Regression Tests","regression.spec.ts","",""
"","22","should allow switching between different user types","default","Sun May 04 12:36:53 UTC 2025","failed","Sun May 04 12:36:53 UTC 2025","Onboarding Flow","e2e/onboarding.spec.ts","",""
"","14","should show journey details","default","Sun May 04 12:36:46 UTC 2025","failed","Sun May 04 12:36:46 UTC 2025","Journey System","e2e/journeys.spec.ts","",""
"","11","should navigate through investor journey","default","Sun May 04 12:36:46 UTC 2025","failed","Sun May 04 12:36:46 UTC 2025","Journey System","e2e/journeys.spec.ts","",""
"","14","should persist onboarding progress","default","Sun May 04 12:36:53 UTC 2025","failed","Sun May 04 12:36:53 UTC 2025","Onboarding Flow","e2e/onboarding.spec.ts","",""
